МУ210-412 Номер: 126182230532233226
Текущий IP адрес;192.168.1.99
Текущая маска подсети;255.255.0.0
Текущий IP адрес шлюза;192.168.1.1
Протокол;Modbus TCP
Порядок байт;Старшим байтом вперёд
Порядок регистров;Младшим регистром вперёд
Параметр;Группа;Адрес;Адрес (hex);Количество регистров;Функция чтения;Функция записи;Тип данных
Режим работы выхода;Выход 17;288;0x0120;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 17;324;0x0144;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 17;356;0x0164;1;3;16;Unsigned 16
Безопасное состояние;Выход 17;490;0x01EA;1;3;16;Unsigned 16
Режим работы выхода;Выход 18;289;0x0121;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 18;325;0x0145;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 18;357;0x0165;1;3;16;Unsigned 16
Безопасное состояние;Выход 18;491;0x01EB;1;3;16;Unsigned 16
Режим работы выхода;Выход 19;290;0x0122;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 19;326;0x0146;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 19;358;0x0166;1;3;16;Unsigned 16
Безопасное состояние;Выход 19;492;0x01EC;1;3;16;Unsigned 16
Режим работы выхода;Выход 20;291;0x0123;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 20;327;0x0147;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 20;359;0x0167;1;3;16;Unsigned 16
Безопасное состояние;Выход 20;493;0x01ED;1;3;16;Unsigned 16
Режим работы выхода;Выход 21;292;0x0124;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 21;328;0x0148;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 21;360;0x0168;1;3;16;Unsigned 16
Безопасное состояние;Выход 21;494;0x01EE;1;3;16;Unsigned 16
Режим работы выхода;Выход 22;293;0x0125;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 22;329;0x0149;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 22;361;0x0169;1;3;16;Unsigned 16
Безопасное состояние;Выход 22;495;0x01EF;1;3;16;Unsigned 16
Режим работы выхода;Выход 23;294;0x0126;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 23;330;0x014A;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 23;362;0x016A;1;3;16;Unsigned 16
Безопасное состояние;Выход 23;496;0x01F0;1;3;16;Unsigned 16
Режим работы выхода;Выход 24;295;0x0127;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 24;331;0x014B;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 24;363;0x016B;1;3;16;Unsigned 16
Безопасное состояние;Выход 24;497;0x01F1;1;3;16;Unsigned 16
Включение/Отключение;NTP;5632;0x1600;1;3;16;Enum 2
Пул NTP серверов;NTP;5633;0x1601;16;3;16;String 256
NTP сервер 1;NTP;5697;0x1641;2;3;16;Unsigned 32
NTP сервер 2;NTP;5699;0x1643;2;3;16;Unsigned 32
Период синхронизации;NTP;5701;0x1645;1;3;16;Unsigned 16
Статус;NTP;5702;0x1646;1;3;-;Enum 3
Подключение к брокеру;MQTT;5888;0x1700;1;3;16;Enum 2
Логин;MQTT;5928;0x1728;32;3;16;String 512
Пароль;MQTT;5960;0x1748;32;3;16;String 512
Имя устройства;MQTT;5896;0x1708;32;3;16;String 512
Адрес брокера;MQTT;5993;0x1769;32;3;16;String 512
Порт;MQTT;5891;0x1703;1;3;16;Unsigned 16
Хранение последнего сообщения;MQTT;5895;0x1707;1;3;16;Enum 2
Интервал публикации;MQTT;5892;0x1704;1;3;16;Unsigned 16
Качество обслуживания;MQTT;5893;0x1705;1;3;16;Enum 3
Интервал Keep Alive;MQTT;5992;0x1768;1;3;16;Unsigned 16
Статус;MQTT;6025;0x1789;1;3;-;Enum 3
Включить;Сообщeния о присутствии;6026;0x178A;1;3;16;Enum 2
Включение/Отключение;SNMP;5120;0x1400;1;3;16;Enum 2
Сообщество для чтения;SNMP;6001;0x1771;16;3;16;String 256
Сообщество для записи;SNMP;6017;0x1781;16;3;16;String 256
IP адрес для ловушки;SNMP;5121;0x1401;2;3;16;Unsigned 32
Номер порта для ловушки;SNMP;5123;0x1403;1;3;16;Unsigned 16
Версия SNMP;SNMP;5124;0x1404;1;3;16;Enum 2
